hazard_ratio	followup	stratify	n	w	power
0.6	15	FALSE	100	0	0.97
0.7	15	FALSE	100	0	0.7
0.8	15	FALSE	100	0	0.33
0.9	15	FALSE	100	0	0.08
0.1	15	FALSE	120	0	1
0.2	15	FALSE	120	0	1
0.3	15	FALSE	120	0	1
0.4	15	FALSE	120	0	1
0.5	15	FALSE	120	0	0.99
0.6	15	FALSE	120	0	0.98
0.7	15	FALSE	120	0	0.7
0.8	15	FALSE	120	0	0.34
0.9	15	FALSE	120	0	0.13
0.1	15	FALSE	150	0	1
0.2	15	FALSE	150	0	1
0.3	15	FALSE	150	0	1
0.4	15	FALSE	150	0	1
0.5	15	FALSE	150	0	1
0.6	15	FALSE	150	0	0.99
0.7	15	FALSE	150	0	0.88
0.8	15	FALSE	150	0	0.51
0.9	15	FALSE	150	0	0.06
0.1	15	FALSE	180	0	1
0.2	15	FALSE	180	0	1
0.3	15	FALSE	180	0	1
0.4	15	FALSE	180	0	1
0.5	15	FALSE	180	0	1
0.6	15	FALSE	180	0	1
0.7	15	FALSE	180	0	0.89
0.8	15	FALSE	180	0	0.42
0.9	15	FALSE	180	0	0.11
0.1	15	FALSE	210	0	1
0.2	15	FALSE	210	0	1
0.3	15	FALSE	210	0	1
0.4	15	FALSE	210	0	1
0.5	15	FALSE	210	0	1
0.6	15	FALSE	210	0	1
0.7	15	FALSE	210	0	0.92
0.8	15	FALSE	210	0	0.57
0.9	15	FALSE	210	0	0.1
0.1	15	FALSE	240	0	1
0.2	15	FALSE	240	0	1
0.3	15	FALSE	240	0	1
0.4	15	FALSE	240	0	1
0.5	15	FALSE	240	0	1
0.6	15	FALSE	240	0	1
0.7	15	FALSE	240	0	0.93
0.8	15	FALSE	240	0	0.59
0.9	15	FALSE	240	0	0.08
0.1	15	FALSE	270	0	1
0.2	15	FALSE	270	0	1
0.3	15	FALSE	270	0	1
0.4	15	FALSE	270	0	1
0.5	15	FALSE	270	0	1
0.6	15	FALSE	270	0	1
0.7	15	FALSE	270	0	0.97
0.8	15	FALSE	270	0	0.63
0.9	15	FALSE	270	0	0.12
0.1	15	FALSE	300	0	1
0.2	15	FALSE	300	0	1
0.3	15	FALSE	300	0	1
0.4	15	FALSE	300	0	1
0.5	15	FALSE	300	0	1
0.6	15	FALSE	300	0	1
0.7	15	FALSE	300	0	1
0.8	15	FALSE	300	0	0.65
0.9	15	FALSE	300	0	0.12
0.1	15	FALSE	400	0	1
0.2	15	FALSE	400	0	1
0.3	15	FALSE	400	0	1
0.4	15	FALSE	400	0	1
0.5	15	FALSE	400	0	1
0.6	15	FALSE	400	0	1
0.7	15	FALSE	400	0	1
0.8	15	FALSE	400	0	0.77
0.9	15	FALSE	400	0	0.1
0.1	15	FALSE	500	0	1
0.2	15	FALSE	500	0	1
0.3	15	FALSE	500	0	1
0.4	15	FALSE	500	0	1
0.5	15	FALSE	500	0	1
0.6	15	FALSE	500	0	1
0.7	15	FALSE	500	0	1
0.8	15	FALSE	500	0	0.88
0.9	15	FALSE	500	0	0.18
0.1	15	FALSE	600	0	1
0.2	15	FALSE	600	0	1
0.3	15	FALSE	600	0	1
0.4	15	FALSE	600	0	1
0.5	15	FALSE	600	0	1
0.6	15	FALSE	600	0	1
0.7	15	FALSE	600	0	1
0.8	15	FALSE	600	0	0.93
0.9	15	FALSE	600	0	0.22
0.1	15	FALSE	700	0	1
0.2	15	FALSE	700	0	1
0.3	15	FALSE	700	0	1
0.4	15	FALSE	700	0	1
0.5	15	FALSE	700	0	1
0.6	15	FALSE	700	0	1
0.7	15	FALSE	700	0	1
0.8	15	FALSE	700	0	0.95
0.9	15	FALSE	700	0	0.23
0.1	15	FALSE	800	0	1
0.2	15	FALSE	800	0	1
